
Group,Class,Sub-Class,Description,
,3312,,Repair and maintenance of machinery,
,,,"This class includes the repair and maintenance of industrial and commercial machinery and equipment, 
e.g. sharpening or installing machinery blades and saws; the provision of welding (e.g. automotive, general) repair services; the repair of agricultural and other heavy and industrial machinery and equipment (e.g. forklifts and other materials handling equipment, machine tools, commercial refrigeration equipment, construction equipment and mining machinery), including machinery and equipment of division 28. 

This class excludes: 
- repair and maintenance of civilian ship and boat engines, see 3315 
- repair and maintenance of civilian aircraft engines, see 3315 
- repair and maintenance of engines for military fighting vehicles, ships, boats, air and spacecraft, see 3315 
- installation, repair and maintenance of furnaces and other heating equipment, see 4322 
- installation, repair and maintenance of elevators and escalators, see 4329 
- repair and maintenance of computers, see 9510 
- repair and maintenance of engines for motor vehicles, see 9531",
,,331201,"Repair and maintenance of engines and turbines excluding aircraft, ships, vehicle and motor cycle engines",
,,331202,"Repair and maintenance of pumps and related equipment, fluid power equipment, valves",
,,331203,"Repair and maintenance of metal cutting and metal forming machine tools and accessories, power-driven hand-tools, and other machine tools",
,,331204,Repair and maintenance of agricultural machinery and forestry and logging machinery including agricultural tractors,
,,331205,"Repair and maintenance of mining, construction, and oil and gas field machinery; metallurgy machinery",
,,331206,"Repair and maintenance of food, beverage, and tobacco processing machinery",
,,331207,"Repair and maintenance of textile apparel, leather production machinery and papermaking machinery",
,,331208,Repair and maintenance of plastic and rubber machinery,
,,331209,"Repair and maintenance of commercial refrigeration equipment, commercial water purifying equipment, vending machines, cash registers, photocopy machines",
,,331299,Repair and maintenance of other machinery n.e.c. ,
,3313,,Repair and maintenance of electronic and optical equipment,
,,,"This class includes the repair and maintenance of goods produced in groups 2651, 2660 and 2670, except those that are considered household goods.

This class excludes:
- repair and maintenance of photocopy machines, see 3312
- repair and maintenance of computers and peripheral equipment, see 9510
- repair and maintenance of computer projectors, see 9510
- repair and maintenance of communication equipment, see 9510
- repair and maintenance of commercial TV and video cameras, see 9510
- repair of household-type video cameras, see 9521
- repair of watches and clocks, see 9529",
,,331301,"Repair and maintenance of the measuring, testing, navigating and control equipment such as aircraft engine instruments, automotive emissions testing equipment, meteorological instruments, physical, electrical and chemical properties testing and inspection equipment, surveying instruments, radiation detection and monitoring instruments and similar equipments.",
,,331302,Repair and maintenance of systems parameters measurment equipments (Equipments used during realisation and operalisation) of Space craft and its Launch Vehicle & Orbital Station,
,,331303,"Repair and maintenance of Satellite Ground station, Gateway & VSAT,  RF and Baseband equipments",
,,331304,"Repair and maintenance of irradiation, electromedical and electrotherapeutic equipment such as magnetic resonance imaging (MRI) equipment, medical ultrasound equipment, pacemakers, hearing aids, electrocardiographs (ECG), electromedical endoscopic equipment, irradiation apparatus",
,,331305,"Repair and maintenance of optical instruments and equipment primarily for commercial use, such as binoculars, microscopes (excluding electron and proton microscopes), telescopes, prisms, and lenses (excluding ophthalmic lenses), as well as photographic equipment.",
,,331399,Repair and maintenance of other electronic and optical equipment n.e.c.,
,3314,,Repair and maintenance of electrical equipment,
,,,"This class includes the repair and maintenance of goods of division 27. 

This class excludes: 
- repair and maintenance of domestic appliances, see 9522 
- repair and maintenance of computers and peripheral computer equipment, see 9510 
- repair and maintenance of telecommunications equipment, see 9510 
- repair and maintenance of consumer electronics, see 9521 
- repair of watches and clocks, see 9529",
,,331400,Repair and maintenance of electrical equipment,
,3315,,"Repair and maintenance of transport equipment, except motor vehicles",
,,,"This class includes the repair and maintenance of transport equipment of division 30, except motorcycles and bicycles. However, the factory rebuilding or overhaul of ships, locomotives, railroad cars and aircraft is classified in division 30. 

This class excludes: 
- factory rebuilding of ships, see 3011 
- factory rebuilding of locomotives and railroad cars, see 3020 
- factory rebuilding of aircraft, see 3030 
- repair of ship or rail engines, see 3312 
- ship scaling, dismantling, see 3830 
- repair and maintenance of motorcycles, see 9532 
- repair of bicycles and invalid carriages, see 9529",
,,331500,"Repair of transport equipment, except motor vehicles",
,3319,,Repair and maintenance of other equipment,
,,,"This class includes the repair and maintenance of equipment not covered in other groups of this division. 

This class excludes: 
- repair of household and office type furniture, furniture restoration, see 9524 
- repair of bicycles, see 9529 
- repair and alteration of clothing, see 9529",
,,331900,Repair and maintenance of other equipment,
332,,,Installation of industrial machinery and equipment,
,3320,,Installation of industrial machinery and equipment,
,,,"This class includes the specialised installation of machinery. However, the installation of equipment that forms an integral part of buildings or similar structures, such as installation of escalators, electrical wiring, burglar alarm systems or air-conditioning systems, is classified as construction. 

This class excludes: 
- installation of charging stations in wall-boxes, see Section F 
- construction of complete warehouses, see 4100 
- installation of elevators, escalators, automated doors, vacuum cleaning systems etc., see 4329 
- installation of doors, staircases, shop fittings, furniture etc., see 4330 
- erection of structural steel for warehouse storage shelves, see 4390 
- installation (setting-up) of personal computers, see 629",
,,332001,Installation of industrial machinery and equipment,
"SECTION D: Electricity, gas, steam and air conditioning supply",,,,
,"DIVISION 35: Electricity, gas, steam and air conditioning supply",,,
351,,,"Electric power generation, transmission and distribution activities",
,3511,,Electric power generation activities from non-renewable sources,
,,,"This class excludes:
-	production of electricity from renewable sources, see 3512
-	production of electricity through incineration of waste, see 3821",
,,351101,Electric power generation using coal,
,,351102,Electric power generation using petroleum products,
,,351103,Electric power generation using Natural Gas,
,,351104,Electric power generation using nuclear energy (Emission free non-renewables),
,,351199,Electric power generation using other non-renewable sources n.e.c.,
,3512,,Electric power generation activities from renewable sources,
,,,"This class includes:
- operation of generation facilities that produce electricity from renewable sources, e.g. gaseous biofuels, hydropower, on-shore and off-shore wind, solar photovoltaic, and thermal, geothermal and tide, wave and ocean energy.

This class excludes:
-	production of electricity from non-renewable sources, see 3511
-	production of electricity through incineration of waste, see 3821",
,,351201,Electric power generation using hydropower,
,,351202,Electric power generation using solar energy,
,,351203,Electric power generation using wind,
,,351204,Electric power generation using green hydrogen ,
,,351205,Electric power generation using biofuels,
,,351299,Electric power generation activities using other renewable sources n.e.c.,
,3513,,Electric power transmission and distribution activities,
,,,"This class includes:
- operation of transmission systems that convey the electricity from the generation facility to the distribution system, usually in the form of high-voltage
- operation of distribution systems (e.g. lines, poles, meters, and wiring) which convey electric power received from the generation facility or the transmission system to the end user
- rental and leasing electricity distribution networks
- distribution of electricity into electricity mains/networks
- sale of electricity to the user on own account
- operation of electricity and transmission capacity exchanges for electric power, except via intermediaries
- conversion of electrical energy into a form of energy which can be stored, the storing of such energy, and the subsequent reconversion of such energy into electrical energy, e.g. operation of pump storage facilities, compressed air storage facilities, or battery storage facilities
- distributing stored electricity into electricity mains/networks

This class excludes:
- sale of electricity on the account of others, see 3540
- production of electricity not by storage, see 3511, 3512",
,,351301,Operation of transmission systems delivering electricity from generation to distribution,
,,351302,"Operation of distribution systems delivering electricity from generation or transmission (including independent transmission) to end users (e.g. lines, poles, meters, and wiring)",
,,351303,"Operation of charging facilities or stations for electric vehicles, e.g. electric cars, motorcycles, scooters and bicycles",
,,351399,"Other electric power transmission, storage and distribution activities n.e.c.",
352,,,Manufacture of gas; distribution of gaseous fuels through mains,
,3520,,Manufacture of gas; distribution of gaseous fuels through mains,
,,,"This class includes the manufacture of gas, the storage and the distribution of natural or synthetic gas to the user through a system of mains.

This class excludes:
-	extraction of crude natural gas, see 0620
-	operation of coke ovens, see 1910
-	manufacture of refined petroleum products and liquefied petroleum gas (LPGs), see 1920
-	manufacture of industrial gases, see 2011
-	activities of brokers or agents (intermediaries) that arrange the sale of natural gas via gas distribution systems operated by others, see 3540
-	wholesale of bottled gaseous fuels, see 4671
-	retail sale of gaseous fuel for motor vehicles and motorcycles, see 4730
-	retail sale of household fuel oil and bottled gaseous fuels, see 4773
-	transportation, usually over long-distance, of gas through by pipelines, see 4950
-	The separate operation of gas pipelines, typically done over long distances, connecting producers with distributors of gas, or between urban centers, See 4950
-	manufacture of basic organic gases, not for energy supply through a network, see 2011
-	production of blast furnace gas, see 2410
-	production of gas as by-product in landfills, see 3821",
,,352001,Production of natural and synthetic gases including coal gas except green hydrogen and compressed bio gas,
,,352002,Production of Green Hydrogen,
,,352003,Production of compressed Bio Gas,
,,352004,Disrtibution and sale of gaseous fuels through mains,
,,352099,Production of other gases n.e.c. excluding petroleum gas,
353,,,Steam and air conditioning supply,
,3530,,Steam and air conditioning supply,
,,,"This class includes production of ice for all purposes.

This class excludes:
-  production of heat/steam through waste incineration, see 3821
- manufacture of sorbet, gola, kulfi and other frozen desserts, see 1050",
,,353001,Steam and air conditioning supply,
,,353002,"Production of ice, including ice for food and non-food (e.g. cooling) purposes",
,,353099,Other Steam and air conditioning supply n.e.c.,
354,,,Activities of brokers and agents for electric power and natural gas,
,3540,,Activities of brokers and agents for electric power and natural gas,
,,,"This class excludes:
-	storage and distribution or provision of electric power to the user (through a system of mains) by the producer (own account), see 351
-	storage and distribution or provision of natural gas to the user through a system of mains by the producer (own account), see 352
-	intermediation service activities for transport of gaseous fuels, see 5231 ",
,,354000,Activities of brokers and agents for electric power and natural gas,
"SECTION E: Water supply; sewerage, waste management and remediation activities",,,,
,"DIVISION 36: Water collection, treatment and supply",,,
360,,,"Water collection, treatment and supply",
,3600,,"Water collection, treatment and supply",
,,,"This class excludes:
-	provision of irrigation services for agricultural purposes, see 0161
-	production of natural mineral waters and other bottled waters, see 1105
-	treatment of wastewater in order to prevent pollution, see 3700
-	installation of water meters, see 4322
-	transport of water via pipelines not through the mains, see 4930
-	water meter reading by third parties, see 8299",
,,360001,"Abstraction of water from rivers, lakes, ponds ground water and other sources",
,,360002,Rainwater harvesting,
,,360003,Treatment of water for water supply (except desalination),
,,360004,Desalination of sea or ground water to produce water as the principal product of interest,
,,360005,Distribution of water by mains,
,,360006,Distribution of water by trucks/containers/tankers,
,,360007,Distribution of water by rail or ships,
,,360008,Operation of irrigation canals,
,,360009,Rental and leasing of water distribution network,
,,360099,"Water collection, treatment and supply n.e.c.",
,DIVISION 37 : Sewerage,,,
370,,,Sewerage,
,3700,,Sewerage,
,,,"This class excludes:
-	further treatment of sludge extracted from waste water, such as anaerobic digestion, aerobic treatment like composting, incineration with or without energy recovery, see 3830
-	decontamination of surface water and groundwater at the place of pollution, see 3900
-	construction or repair of sewer systems, see 4220
-	cleaning and deblocking of drainpipes in buildings, see 4322
-	rental and pumping of portable toilets, see 7730",
,,370001,Operation and maintenance of  sewer and drains ,
,,370002,"Operation and maintenance of other sewer systems (including sewer rodding, emptying and cleaning of cesspools, septic tanks, sinks, and pits from sewage, servicing of chemical toilets)",
,,370003,Collecting and transporting of sewage water ,
,,370004,"Treatment of waste water or sewer water by means of physical, chemical or biological processes",
,,370099,Other operation of sewer systems or sewage treatment facilities n.e.c.,
,,,"DIVISION 38 : Waste collection, treatment and disposal, and recovery activities",
381,,,Waste collection activities,
,3811,,Collection of non-hazardous waste,
,,,"This class excludes:
-	collection of sewage, see 37
-	collection of hazardous waste, see 3812
-	operation of landfills for the disposal of non-hazardous waste and permanent storage of non- hazardous waste, see 3821
-	operation of facilities for sorting recoverable waste, see 3830
-	operation of recovery facilities, see 3830",
,,381101,Collection of mixed non-hazardous waste.,
,,381102,Collection of segregated recycleable non-hazardous waste excluding constuction and demolition waste,
,,381103,Collection of construction and demolition waste,
,,381199,Collection of other non-hazardous waste n.e.c.,
,3812,,Collection of hazardous waste,
,,,"This class includes the collection of hazardous waste, e.g. explosive, oxidizing, flammable, toxic, irritant, carcinogenic, corrosive, infectious and other substances and preparations harmful for human health and environment. The activities may also include identification, treatment, packaging and labelling of waste for the purposes of transport.

This class excludes:
-	collection of non-hazardous waste, see 3811
-	operation of landfills for the disposal of hazardous waste and permanent storage of hazardous waste , see 3821
-	remediation and clean up of contaminated buildings, mine sites, soil or ground water, e.g. asbestos removal, see 3900",
,,381201,Collection of all medical waste including bio-hazardous waste and expired pharmaceuticals,
,,381202,Collection of E-waste,
,,381299,Collection of other hazardous waste n.e.c.,
382,,,Waste treatment and disposal,
,3821,,Treatment and disposal of non-hazardous waste,
,,,"This class includes the disposal (by combustion, inceneration or other methods), treatment prior to disposal and other treatment of solid or non-solid non- hazardous waste.

This class excludes:
- operation of facilities where waste is unloaded for further transport, see 381
- storage of waste prior to recovery, see 383
- incineration and combustion of hazardous waste, see 3822
- operation of facilities where recoverable materials are sorted, see 3830
- carbon capturing activities, decontamination, clean up of land, water; and toxic material abatement, see 3900
- production of compost from non-hazardous organic waste, see 2012",
,,382101,Treatment and disposal of organic non-hazardous waste,
,,382199,Treatment and disposal of other non-hazardous waste n.e.c.,
,3822,,Treatment and disposal of hazardous waste,
,,,"This class includes the disposal (by combustion, inceneration or other methods) and treatment prior to disposal of solid or non-solid hazardous waste, including waste that is explosive, oxidizing, flammable, toxic, irritant, carcinogenic, corrosive or infectious and other substances and preparations harmful for human health and environment.

This class excludes:
- incineration of non-hazardous waste, see 3821
- decontamination, clean up of land, water; and toxic material abatement, see 3900
- reprocessing of nuclear fuels, see 2011",
,,382201,Treatment and disposal of toxic live or dead animals and other contaminated waste,
,,382202,Treatment and disposal of E-Waste,
,,382203,"Treatment, disposal and storage of radioactive nuclear waste",
,,382204,Treatment and disposal of medical waste,
,,382299,Treatment and disposal of other hazardous waste n.e.c.,
383,,,Materials and other waste recovery,
,3830,,Materials and other waste recovery,
,,,"This class excludes:
-	manufacture of new final products from secondary metal raw materials (whether or not self- produced), such as spinning yarn from garnetted stock, making pulp from paper waste, retreading tyres or production of metal from metal scrap, see corresponding classes in section C (Manufacturing)
-	reprocessing of nuclear fuels, see 2011
-	remelting ferrous waste and scrap, see 2410
-	remelting of plastics to produce granulates or compounds, see 2013
-	treatment and disposal of non-hazardous waste, see 3821
-	treatment of organic waste for disposal, see 3821
-	energy recovery from non-hazardous waste incineration processes, see 3821
-	disposal of used goods such as refrigerators to eliminate harmful waste, see 3822
-	treatment and disposal of transition radioactive waste from hospitals etc., see 3822
-	treatment and disposal of toxic, contaminated waste, see 3822
-	dismantling of automobiles, computers, televisions and other equipment to obtain and resell usable parts, see section G
-	wholesale of recoverable materials, see 4669",
,,383001,"Shredding of metal waste, end-of-life vehicles etc.",
,,383002,Dismantling of automobiles (except end-of-life vehicles) for materials recovery,
,,383003,Ship-breaking and recovery of metal components from ships.,
,,383004,Recovery and processing of electronic items,
,,383005,"Recovery and reclaiming of rubber materials (e.g., used tires) to produce secondary raw materials.",
,,383006,"Crushing, cleaning, and sorting of glass waste to obtain secondary raw materials (e.g., glass cullet for manufacturing).",
,,383007,"Sorting and mechanical processing (e.g. cleaning, grinding) of plastics to produce secondary raw material",
,,383099,Materials and other waste recovery n.e.c.,
,DIVISION 39: Remediation and other waste management service activities,,,
390,,,Remediation and other waste management service activities,
,3900,,Remediation and other waste management service activities,
,,,"This class excludes:
-	pest control in agriculture, see 0161
-	purification of water for water supply purposes, see 3600
-	treatment of waste with recovery, see 3830
-	storage of captured Carbon Dioxide (CO2), see 3821
-	treatment of waste for disposal, see 382
-	outdoor sweeping and watering of streets, see 8129
-	Civil engineering projects of rehabilitation of mining sites, see section F",
,,390001,Soil & Groundwater Remediation activities,
,,390002,Surface water and coastal cleaning servicies,
,,390003,Industrial & Nuclear Decontamination activities,
,,390004,Other specialized pollution-control activities excluding carbon capture and storage,
,,390005,CO2 remediation and Carbon Capture and Utilization (CCU) services including Blue carbon restoration and ocean-based carbon sequestration services,
,,390006,Mining site remidiation,
,,390099,Remediation and other waste management service activities n.e.c.,
SECTION F : Construction,,,,
,DIVISION 41 : Construction of residential and non-residential buildings,,,
410,,,Construction of residential and non-residential buildings,
,4100,,Construction of residential and non-residential buildings,
,,,"This class includes the construction of complete residential or non-residential buildings, as well as of additions and alterations. Outsourcing parts or the whole construction process is possible. If only specialised parts of the construction process are carried out, the activity is classified in division 43. 

This class excludes:
- construction of industrial facilities, except buildings, see 4290
- installation of assembled prefabricated buildings, see 4390
- outdoor sports facilities, see 4290
- development of building projects, for later sale, see 6810
- architectural and engineering activities, see 711
- project management for construction, see 711",
,,410001,Construction of buildings carried out on own-account basis ,
,,410002,Construction of buildings carried out on a fee or contract basis,
,,410003,"Activities relating to alteration, addition, repair, maintenance carried out on own account basis",
,,410004,"Activities relating to alteration, addition, repair, maintenance carried out on a fee or contract basis",
,,410005,Assembly and erection of prefabricated constructions on the site,
,DIVISION 42 : Civil engineering,,,
421,,,Construction of roads and railways,
,4210,,Construction of roads and railways,
,,,"This class excludes:
- installation of street lighting and electrical signals, see 4321
- architectural and engineering activities, see 7110
- project management activities related to civil engineering works, see 7110",
,,421001,"Construction and maintenance of motorways, streets, roads, other vehicular and pedestrian ways including surface work",
,,421002,"Construction and maintenance of tunnels, subways, bridges and overpasses",
,,421003,Construction and maintenance of airfield runways,
,,421004,Construction and maintenance of railway tracks/ Metro tracks,
,,421099,Other construction of roads and railways n.e.c.,
422,,,Construction of utility projects,
,4220,,Construction of utility projects,
,,,"This class includes the construction of distribution lines and related buildings and structures that are integral part of these systems.

This class excludes:
- project management activities related to civil engineering works, see 7110",
,,422001,Construction of  thermal and nuclear power plants,
,,422002,Construction of hydropower plants and Pumped Storage Projects,
,,422003,"Construction, erection, and maintenance of power transmission and distribution lines, including radar infrastructure for grid monitoring, load balancing, fault detection, and overhead lines or conductor rails for railways.",
,,422004,"Construction, erection, and maintenance of telecommunication infrastructure such as mobile tower",
,,422005,Construction of long distance pipelines or urban pipelines,
,,422006,"Construction and maintenance of water main and line connection, water reservoirs including irrigation system (canal)",
,,422007,Construction and repair of sewer systems including sewage disposal plants and pumping stations,
,,422008,Construction of solar energy plants,
,,422009,Construction of wind energy plants,
,,422099,"Other Construction of utility projects n.e.c. including systems test and Integration Facility for spacecrafts, launch vehicles and orbital stations",
429,,,Construction of other civil engineering projects,
,4290,,Construction of other civil engineering projects,
,,,"This class excludes:
- project management activities related to civil engineering works, see 7110",
,,429001,Construction of industrial plants including refineries,
,,429002,"Construction of waterways, harbours, and river works, marinas (including dredging of waterways)",
,,429003,"Construction of dams and dykes and hydromechanical structures (e.g., locks, lifts, sluices, slipways)",
,,429004,"Construction of outdoor sports facilities, playgrounds, amusement parks and theme parks",
,,429005,Construction of grain storage systems,
,,429006,"Construction of mining facilities (e.g., shafts, towers, tunnels)",
,,429099,Other construction of other civil engineering projects n.e.c.,
,DIVISION 43 : Specialized construction activities,,,
431,,,Demolition and site preparation,
,4311,,Demolition,
,,431100,"Demolition, dismantling or wrecking of buildings and other structures",
,4312,, Site preparation,
,,,"This class includes the preparation of sites for subsequent construction activities.

This class excludes:
- drilling of production oil or gas wells, see 0610, 0620
- test drilling and test hole boring for mining operations (other than oil and gas extraction), see 0990
- decontamination of soil, see 3900
- water well drilling, see 4220
- shaft sinking, see 4390
- oil and gas field exploration, geophysical, geological and seismic surveying, see 7110",
,,431201,Site preparation for mining including overburden removal and other development and preparation of mineral properties and sites,
,,431202,"Site preparation including drilling, boring and core sampling for construction, geophysical, geological or similar purposes
",
,,431203,"Clearing of building sites, earth moving: excavation, landfill, levelling and grading of construction sites, trench digging, rock removal, blasting etc.",
,,431204,Drainage of agricultural or forestry land,
,,431299,Other site preparation n.e.c.,
432,,,"Electrical, plumbing and other construction installation activities",
,4321,,Electrical installation ,
,,,"This class includes the installation, repair and maintenance of electrical systems in all types of buildings and civil engineering structures of electrical systems.

This class excludes:
- distribution lines for electricity and telecommunications, see 4220
- construction of solar and wind energy farms, see 4220
- construction of stations for distribution of electricity, e.g. for electrical vehicles, see 4220
- installation of lightning conductors, see 4329
- monitoring and remote monitoring of electronic security systems, such as burglar alarms and fire alarms, including their installation and maintenance, see 8020",
,,432101,"Installation, repair and maintenance of electrical wiring and fittings",
,,432102,"Installation, repair and maintenance of telecommunications wiring including computer network and cable television wiring, including fiber optic ",
,,432103,"Installation, repair and maintenance of radar infrastructure",
,,432104,"Installation, repair and maintenance of lighting systems (including street lighting and airport runway lighting)",
,,432105,"Installation, repair and maintenance of fire alarm system and burgler alarm system",
,,432106,"Installation, repair and maintenance of power storage systems and electric charging stations for electric vehicles",
,,432107,"Installation, repair and maintenance of solar systems on buildings",
,,432199,"Other electrical installation, repair and maintenance n.e.c.",
,4322,,"Plumbing, heat and air-conditioning installation",
,,,"This class includes the installation, repair and maintenance of plumbing, heating and air-conditioning systems, including additions and alterations.

This class excludes:
- installation of electric baseboard heating, see 4321
- camera inspections in air ducts, water and gas pipes, and other liquids without repair or installation, see 7120",
,,432201,"Installation, repair and maintenance of plumbing for water, gas, and sanitation equipment (excluding hospitals gas fittings)",
,,432202,"Installation, repair and maintenance of gas fittings and medical gas distribution systems in hospitals",
,,432203,"Installation, repair and maintenance of ventilation, air-conditioning equipment and heating systems (electric, gas, and oil), furnaces, cooling towers, non-electric solar energy collectors, etc.",
,,432204,"Installation, repair and maintenance of all sprinkler systems including lawn and fire systems",
,,432299,"Other  plumbing, heating, and air-conditioning installation, repair and maintenance activities n.e.c.",
,4329,,Other construction installation,
,,,"This class includes the installation of equipment other than electrical, plumbing, heating and air- conditioning systems or industrial machinery in buildings and civil engineering structures, including maintenance and repair.

This class excludes:
- installation of industrial machinery, see 3320",
,,432901,"Installation, repair and maintenance of elevators, escalators",
,,432902,"Installation, repair and maintenance of thermal, sound or vibration insulation",
,,432903,"Installation, repair and maintenance of automated and revolving doors",
,,432999,"Other construction installation, repair and maintenance activities n.e.c.",
433,,,Building completion and finishing,
,4330,,Building completion and finishing,
,,,"This class excludes:
- painting of roads, see 4210
- installation of automated and revolving doors, see 4329
- general interior cleaning of buildings and other structures, see 8121
- specialized interior and exterior cleaning of buildings, see 8129
- activities of interior decoration designers, see 7410
- assembly of self-standing furniture, see 9524",
,,433001,"Installation of doors, windows, door and window frames, fitted kitchens, of wood or other materials",
,,433002,"Interior finishing including ceiling , flooring, tiling, partition, wall covering and similar activities",
,,433003,"Interior and exterior painting, glazing, plastering and decorating of buildings or civil engineering structures",
,,433099,Other building completion and finishing activities n.e.c.,
434,,,Intermediation service activities for specialized construction services,
,4340,,Intermediation service activities for specialized construction,
,,,"This class includes the intermediation for specialised construction services by bringing clients and service providers together for a fee or commission, without the intermediary providing the specialised construction services that are intermediated. These intermediation activities can be carried out on digital platforms or through non-digital channels (face-to-face, phone, post, etc.). The fee or commission can be received from either the client or the provider of the specialised construction services. Revenue for the intermediation activities can include other sources of income, such as revenues from advertising.

This class excludes other non-intermediation specialized construction services.",
,,434000,Intermediation of specialised construction services ,
439,,,Other specialized construction activities,
,4390,,Other specialized construction activities,
,,,"This class excludes:
- renting of construction machinery and equipment without operator, see 7730",
,,439000,"Other specialized construction activities including foundation work, masonry, roofing, scaffolding, steel erection, waterproofing, road safety installations, crane rental with operator, heritage restoration.",
SECTION G : Wholesale and retail trade,,,,
,DIVISION 46 : Wholesale trade,,,
461,,,Wholesale on a fee or contract basis,
,4610,,Wholesale on a fee or contract basis,
,,,"This class excludes:
- wholesale on own account, see 462 to 469
- activities of commission agents who assumes ownership of the goods, even if they are acting in the name of a third party, see 462 to 469
- activities of opaque intermediaries (intermediaries that are acting in the name of a third party), see 462 to 469
- intermediation service activities for retail trade, see 479
- intermediation service activities for real estate activities, see 6821
- websites providing searches for goods that link the customers to sellers",
,,461001,"Activities of commission agents, brokers dealing in wholesale trade of agricultural raw material and live animals",
,,461002,"Activities of commission agents dealing in wholesale trade in food, beverages and tobacco",
,,461003,"Activities of commission agents dealing in wholesale trade in textile, clothing and footwear",
,,461004,"Activities of commission agents involved in wholesale of household, office and shop furniture, carpets and lighting equipments",
,,461005,"Activities of commission agents involved in wholesale of computers, computer periheral equipment and software",
,,461006,Activities of commission agents involved in wholesale of electronic and telecommunication equipments and parts,
,,461007,"Activities of commission agents involved in the wholesale of machinery, equipment and supplies",
,,461008,Activities of commission agents involved in the wholesale of motorvehicles of all types including electric vehicles,
,,461009,Activities of commission agents involved in the wholesale of motorcycle of all types including electric vehicles,
,,461010,"Activities of commission agents involved in the wholesale of solid, liquid and gasous fuels and related products",
,,461011,Activities of commission agents involved in the wholesale of metal and metal ores,
,,461012,"Activities of commission agents involved in the wholesale of construction materials, hardware, plumbing and heating equipment and supplies",
,,461099,Activities of other commission agents n.e.c. ,
462,,,Wholesale of agricultural raw materials and live animals,
,4620,,Wholesale of agricultural raw materials and live animals,
,,,"This class excludes:
- wholesale of textile fibres, see 4669
- activities of wholesalers who do not assume ownership of the goods they trade, see 461
- wholesale of food for pet animals, see 4630",
,,462001,Wholesale of grains and seeds and seeds for planting (excluding oilseeds),
,,462002,"Wholesale of unmanufactured tobacco, paan (betel leaf) and cinchona",
,,462003,Wholesale of live animals (livestock) including poultry,
,,462004,"Wholesale of straw, fodder & other animal/poultry feed",
,,462005,Wholesale of flowers and plants,
,,462006,"Wholesale of hides, skins and leather",
,,462007,Wholesale of oleaginous fruits and oil seeds,
,,462008,Wholesale of sugarcane,
,,462009,Wholesale of unprocessed timber and similar forest products,
,,462099,Wholesale of other agricultural raw materials n.e.c.,
463,,,"Wholesale of food, beverages and tobacco",
,4630,,"Wholesale of food, beverages and tobacco",
,,,"This class excludes:
- blending of wine or distilled spirits, see 1101, 1102 wholesale of livestock feeds, see 4620
- wholesale of e-liquids for electronic cigarettes, see 4679
- activities of wholesalers who do not assume ownership of the goods they trade, see 461",
,,463001,Wholesale of fruits & vegetables,
,,463002,Wholesale of raw milk & dairy products,
,,463003,"Wholesale of meat, fish & eggs",
,,463004,"Wholesale of confectionery, bakery products and beverages other than Alcholoic",
,,463005,"Wholesale of edible oils, fats, sugar , spices and condiments",
,,463006,"Wholesale of tea, coffee & cocoa",
,,463007,Wholesale of manufactured tobacco & tobacco products,
,,463008,Wholesale of Alchoholic Beverages like wine and liqour,
,,463099,"Wholesale of other food, beverages and tobacco products, n.e.c.",
464,,,Wholesale of household goods,
,4641,,"Wholesale of textiles, clothing and footwear",
,,,"This class excludes:
- wholesale of jewellery and leather goods excluding clothing and footwear, see 4649
- wholesale of textile fibres, see 4669
- wholesale of tents and sleeping bags, see 4649",
,,464101,Wholesale of yarn and fabrics,
,,464102,"Wholesale of clothing, parts of clothing and clothing accessories",
,,464103,Wholesale of footwear,
,,464104,"Wholesale of made-up textile artciles including bed linens, towels, bathroom and kitchen linens, curtains and draperies",
,,464105,"Wholesale of protective apparels (Eg. Bullet proof jackets, PPE kits for medical purposes, latex gloves)",
,,464199,"Wholesale of other textiles, clothing and footwear related goods n.e.c.",
,4642,,"Wholesale of household, office and shop furniture, carpets and lighting equipment",
,,,"This class includes:
- wholesale of outdoor furniture
- wholesale of furniture for warehouses, churches, medical facilities, etc.",
,,464201,Wholesale of wooden furniture,
,,464202,"Wholesale of furniture, excluding wooden furniture",
,,464203,"Wholesale of furniture fittings (hinges, knobs, handles and other similar items)",
,,464204,Wholesale of lights and lighting equipment,
,,464205,"Wholesale of carpets, rugs, mattress and box springs",
,,464299,"Wholesale of household, office and shop furniture, carpets and lighting equipment n.e.c",
,4649,,Wholesale of other household goods,
,,,"This class excludes:
- wholesale of blank audio and video tapes, CDs, DVDs, see 4652
- wholesale of radio and TV broadcasting equipment, see 4652
- wholesale of telecommunication equipments like mobile phones, see 4652
- wholesale of office furniture, see 4659",
,,464901,"Wholesale of perfumeries, cosmetics, soaps and other toiletries",
,,464902,"Wholesale of cutlery, utencils, kitchenware and tableware of metal and wood",
,,464903,"Wholesale of cutlery, utencils, kitchenware and tableware of china and glassware",
,,464904,Wholesale of watches & clocks (Except smart watches),
,,464905,"Wholesale of household appliances and consumer electronics (Eg. refrigerators, ovens, stoves, washing machine, electric kettles, juicers, ACs, heaters, vaccum cleaners etc.) excluding telecommunication equipments ",
,,464906,"Wholesale of newspaper, books, magazines and stationery goods",
,,464907,Wholesale of pharmaceutical and medical goods,
,,464908,"Wholesale of jewellery, including imitation jewellery",
,,464909,"Wholesale of bicycles, e-bikes and similar articles, including related parts and accessories",
